algorithm,trial,seed,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,initial_parameters,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
QAOA,1,52001,1,1,0.0078125,490.6461999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100101100111110011,010010110011111001110000110000000000,128,40,1,3.3998556911;5.3535782272,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000000001,010010110011111001100000001000000001,191.40809999999976,299.2380999999999,5,false,false,
QAOA,1,52001,2,1,0.0078125,502.8961999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100101111011001011,010010111101100101100000000000000110,128,40,1,3.3998556911;5.3535782272,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101110000110,010010111101100101100000101110000110,246.40639999999973,256.48980000000006,4,false,false,
QAOA,1,52001,3,1,0.0078125,523.5360999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001110100011001001,000111010001100100100000100000000110,128,40,1,3.3998556911;5.3535782272,true,single,36,1.0e-10,64,not_in_gurobi_pool,10010101010000000,000111010001100100110010101010000000,267.04629999999975,256.48979999999995,6,false,false,
QAOA,1,52001,4,1,0.0078125,533.8780999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001100100111001101,000110010011100110100000000100001100,128,40,1,3.3998556911;5.3535782272,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000000000000,000110010011100110100100000000000000,362.8848999999998,170.9931999999999,4,false,false,
QAOA,1,52001,5,1,0.0078125,573.8103999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001100110010001011,000110011001000101100000111100000000,128,40,1,3.3998556911;5.3535782272,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100011010000110,000110011001000101100100011010000110,317.3205999999998,256.48980000000006,6,false,false,
QAOA,1,52001,6,1,0.0078125,575.2373999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101110010100010,100110111001010001010000110100001000,128,40,1,3.3998556911;5.3535782272,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000111100000011,100110111001010001000000111100000011,275.99929999999983,299.2380999999999,5,false,false,
QAOA,1,52001,7,1,0.0078125,628.1809999999999,2.2737367544323206e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110101111011001011,111010111101100101111000001011010100,128,40,1,3.3998556911;5.3535782272,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101010100110,111010111101100101100000101010100110,328.9428999999998,299.23810000000014,7,false,false,
QAOA,1,52001,8,1,0.0078125,650.1139999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001110100010001011,100111010001000101100100000011111100,128,40,1,3.3998556911;5.3535782272,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010101010000110,100111010001000101100010101010000110,179.8826999999999,470.2312999999998,9,false,false,
QAOA,1,52001,9,1,0.0078125,657.9793999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100111100011001011,010011110001100101100100000001100110,128,40,1,3.3998556911;5.3535782272,true,single,36,1.0e-10,64,not_in_gurobi_pool,00010101101010110,010011110001100101100010101101010110,273.2446999999996,384.7347000000002,7,false,false,
QAOA,1,52001,10,1,0.0078125,699.0841999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101100110011001011,110110011001100101101000000000001100,128,40,1,3.3998556911;5.3535782272,true,single,36,1.0e-10,64,not_in_gurobi_pool,00100000101000110,110110011001100101100100000101000110,271.6011999999997,427.48299999999995,6,false,false,
